...1,Congressional Candidate Table 2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
Candidate ID,State,Candidate,Party,"Incumbent/
Challenger/Open","Two-Year
Period",Receipts,"Contributions
From Individuals",Contributions from PACs and Other Committees,"Contributions/Loans
From the Candidate",Transfers,Disbursements,Cash on Hand,Debts Owed
NA,Kentucky,"BROCK, JOHN H",Democratic Party,Challenger,1990,210444,182832,800,13000,0,208329,2095,6000
NA,Kentucky,"MCCONNELL, MITCH",Republican Party,Incumbent,1986,643411,0,119600,0,81311,87909,555502,0
NA,Kentucky,"MCCONNELL, MITCH",Republican Party,Incumbent,1988,764342,589762,41250,0,0,128867,1190977,0
NA,Kentucky,"MCCONNELL, MITCH",Republican Party,Incumbent,1990,4073583,2485976,1076029,0,172226,5074187,190373,0
NA,Kentucky,"SLOANE, HARVEY I MD",Democratic Party,Challenger,1988,441392,414392,27000,0,0,76843,364548,0
NA,Kentucky,"SLOANE, HARVEY I MD",Democratic Party,Challenger,1990,2572471,1044213,518688,527500,0,2929651,6867,14500
NA,Louisiana,"ACCARDO, NICK JOSEPH JR MD",Democratic Party,Challenger,1990,16872,1135,0,15737,0,16872,0,5325
NA,Louisiana,"BAGERT, BEN",Republican Party,Challenger,1990,614406,446025,18563,37512,57250,611413,3084,133355
NA,Louisiana,"DASTUGUE, QUENTIN D",Republican Party,Challenger,1990,64516,25225,2900,36000,0,63884,630,9680
NA,Louisiana,"DUKE, DAVID E",Republican Party,Challenger,1990,2670311,2571210,0,85650,13655,2615267,1105,31450
NA,Louisiana,"JOHNSTON, J BENNETT",Democratic Party,Incumbent,1986,326123,0,7950,0,0,663881,1602420,0
NA,Louisiana,"JOHNSTON, J BENNETT",Democratic Party,Incumbent,1988,323065,17342,30432,0,0,157703,1767782,0
NA,Louisiana,"JOHNSTON, J BENNETT",Democratic Party,Incumbent,1990,4167111,2271077,1416331,0,0,4989521,945371,0
NA,Louisiana,"MCKEITHEN, WALTER FOX",Republican Party,Challenger,1990,11250,3350,1000,6400,0,11285,0,0
NA,Maine,"COHEN, WILLIAM S",Republican Party,Incumbent,1986,35004,0,1250,0,0,30418,144557,0
NA,Maine,"COHEN, WILLIAM S",Republican Party,Incumbent,1988,24282,3115,3500,0,0,31010,137829,0
NA,Maine,"COHEN, WILLIAM S",Republican Party,Incumbent,1990,1452466,774697,549694,0,46550,1580997,30738,0
NA,Maine,"ROLDE, NEIL",Democratic Party,Challenger,1990,1635717,64650,29647,1518222,0,1630894,4823,75000
NA,Massachusetts,"DALY, DANIEL WILLIAM",Republican Party,Challenger,1990,700625,198733,1225,481965,0,700496,129,526000
NA,Massachusetts,"KERRY, JOHN F",Democratic Party,Incumbent,1988,526572,417966,1420,50000,0,513400,31865,29014
NA,Massachusetts,"KERRY, JOHN F",Democratic Party,Incumbent,1990,6215076,6085623,14582,0,0,6234887,12055,92765
NA,Massachusetts,"RAPPAPORT, JAMES W",Republican Party,Challenger,1990,5185061,666525,177205,4220138,57250,5177801,7260,4342006
NA,Michigan,"DEVOS, RICHARD M JR",Republican Party,Challenger,1990,82282,0,0,82282,0,82282,0,0
NA,Michigan,"DINGEMAN, JAMES H",Republican Party,Challenger,1990,143526,6000,0,134897,0,143526,0,0
NA,Michigan,"DURANT, CLARK",Republican Party,Challenger,1990,1092827,826838,22255,18000,0,1090233,2594,22194
NA,Michigan,"HAM, GLORIA",Republican Party,Challenger,1990,6035,6071,0,0,0,6071,0,0
NA,Michigan,"LEVIN, CARL",Democratic Party,Incumbent,1986,87125,0,8505,0,0,77802,64501,0
NA,Michigan,"LEVIN, CARL",Democratic Party,Incumbent,1988,193733,161083,6850,0,0,74100,184134,0
NA,Michigan,"LEVIN, CARL",Democratic Party,Incumbent,1990,6948096,5142095,1392502,0,7760,6930262,201966,106156
NA,Michigan,"SCHUETTE, WILLIAM D",Republican Party,Challenger,1990,2495799,1372997,729332,245000,73500,2417705,78094,245000
NA,Minnesota,"BERG, THOMAS K",Democratic Party,Challenger,1990,152543,118768,8475,24287,0,151951,592,34208
NA,Minnesota,"BOSCHWITZ, RUDY",Republican Party,Incumbent,1986,727655,0,9730,0,0,774468,167665,0
NA,Minnesota,"BOSCHWITZ, RUDY",Republican Party,Incumbent,1988,943504,874801,12107,0,0,869542,213815,0
NA,Minnesota,"BOSCHWITZ, RUDY",Republican Party,Incumbent,1990,6087588,4516165,1212209,0,127618,6222333,79070,7060
NA,Minnesota,"NELSON, ROLF",Unknown,Challenger,1990,6373,0,6373,0,0,6373,0,0
NA,Minnesota,"NICHOLS, JAMES WILLIAM",Democratic-Farm-Labor,Challenger,1990,66642,55405,3065,6784,0,66195,0,0
NA,Minnesota,"OLSON, ROBERT ARTHUR",Democratic Party,Challenger,1990,9699,9699,0,0,0,9699,0,0
NA,Minnesota,"OTIS, TODD H",Democratic Party,Challenger,1990,50078,40956,2625,3666,2267,50097,0,0
NA,Minnesota,"WELLSTONE, PAUL DAVID",Democratic Party,Challenger,1990,1401706,1072075,293018,0,0,1380560,21146,118184
NA,Mississippi,"COCHRAN, THAD",Republican Party,Incumbent,1986,95293,0,13236,0,0,59486,174683,5000
NA,Mississippi,"COCHRAN, THAD",Republican Party,Incumbent,1988,51762,13135,6700,0,0,66975,159470,0
NA,Mississippi,"COCHRAN, THAD",Republican Party,Incumbent,1990,1316810,520472,534450,0,157588,567446,908834,0
NA,Montana,"BAUCUS, MAX S",Democratic Party,Incumbent,1986,28787,0,17859,0,0,25918,2870,0
NA,Montana,"BAUCUS, MAX S",Democratic Party,Incumbent,1988,369745,84729,276405,0,0,116004,256611,0
NA,Montana,"BAUCUS, MAX S",Democratic Party,Incumbent,1990,2667328,1136817,1377663,0,0,2409262,514678,0
NA,Montana,"DOMENECH, JOHN",Republican Party,Challenger,1990,89695,20517,0,67425,0,89695,0,64001
NA,Montana,"DRISCOLL, JOHN B",Democratic Party,Challenger,1990,5123,975,0,4148,0,5123,0,0
NA,Montana,"FARRELL, WILLIAM E",Republican Party,Challenger,1990,131140,74072,6400,49637,0,130921,218,27210
NA,Montana,"KOLSTAD, ALLEN C",Republican Party,Challenger,1990,748100,465271,74898,80500,73500,747661,439,60200
NA,Montana,"THORNTON, CURLY",Democratic Party,Challenger,1990,16619,5853,0,10759,0,16606,10,10500
NA,Montana,"VORHAUER, BRUCE",Republican Party,Challenger,1990,333743,72955,1206,258301,0,332695,393,298584
NA,Nebraska,"DAUB, HAL",Republican Party,Challenger,1990,1461846,1310066,0,1000,88500,1452681,9164,93511
NA,Nebraska,"EXON, J JAMES",Democratic Party,Incumbent,1986,22784,0,10900,0,0,33742,40803,0
NA,Nebraska,"EXON, J JAMES",Democratic Party,Incumbent,1988,14985,2155,9250,0,0,34267,21521,2141
NA,Nebraska,"EXON, J JAMES",Democratic Party,Incumbent,1990,2599380,1016043,1503572,0,0,2350326,270574,0
NA,New Hampshire,"CHRISTO, THOMAS K",Republican Party,Open,1990,654921,252828,0,396621,0,651723,3197,412974
NA,New Hampshire,"DEWINTER, THEO A",Republican Party,Open,1990,23954,3915,0,20039,0,22138,1815,0
NA,New Hampshire,"DONCHESS, JAMES W",Democratic Party,Open,1990,317264,192420,84375,10000,16411,317235,29,16794
NA,New Hampshire,"DURKIN, JOHN ANTHONY",Democratic Party,Open,1990,334025,194164,0,121750,0,320154,0,135398
NA,New Hampshire,"RAUH, JOHN",Democratic Party,Open,1990,961206,186157,0,771111,0,958377,2826,423500
NA,New Hampshire,"SMITH, ROBERT C",Republican Party,Open,1990,1509288,660116,663400,0,132665,1420172,89118,0
NA,New Jersey,"BRADLEY, BILL",Democratic Party,Incumbent,1986,1530188,0,103202,80892,203000,870936,659251,16527
NA,New Jersey,"BRADLEY, BILL",Democratic Party,Incumbent,1988,3382724,2941506,235433,410,0,1836502,2205474,27200
NA,New Jersey,"BRADLEY, BILL",Democratic Party,Incumbent,1990,8134268,6502155,1062309,0,0,9563942,775770,83000
NA,New Jersey,"SEYLER, DANIEL Z",Democratic Party,Challenger,1990,7006,82,0,6923,0,7006,0,2327
NA,New Jersey,"WHITMAN, CHRISTINE TODD",Republican Party,Challenger,1990,687420,477827,10782,165262,9107,673825,13594,127810
NA,New Mexico,"BENAVIDES, TOM R",Democratic Party,Challenger,1990,38643,6183,13250,18210,0,38510,133,9908
NA,New Mexico,"DOMENICI, PETE",Republican Party,Incumbent,1986,84933,0,8800,0,14537,33718,51215,0
NA,New Mexico,"DOMENICI, PETE",Republican Party,Incumbent,1988,63824,50575,8100,0,0,82440,32598,0
NA,New Mexico,"DOMENICI, PETE",Republican Party,Incumbent,1990,2110973,1052037,773374,0,143000,1925057,218513,0
NA,North Carolina,"EASLEY, MICHAEL F",Democratic Party,Challenger,1990,689883,425574,198925,44000,1032,689851,31,85257
NA,North Carolina,"GANTT, HARVEY B",Democratic Party,Challenger,1990,7856827,7071336,699802,45000,3880,7808470,48358,35235
NA,North Carolina,"HANNON, ROBERT LOUIS",Democratic Party,Challenger,1990,21632,155,0,21181,0,21423,0,7290
NA,North Carolina,"HELMS, JESSE",Republican Party,Incumbent,1986,2942295,0,105325,0,2167294,2965109,65,18993
NA,North Carolina,"HELMS, JESSE",Republican Party,Incumbent,1988,153371,1290,750,0,139872,153393,43,16238
NA,North Carolina,"HELMS, JESSE",Republican Party,Incumbent,1988,1697394,1670119,11362,0,0,1636412,60981,4508
NA,North Carolina,"HELMS, JESSE",Republican Party,Incumbent,1990,13376425,12347579,835104,0,121655,13425121,12326,914288
NA,North Carolina,"INGRAM, JOHN",Democratic Party,Challenger,1990,8425,8425,0,0,0,1845,0,0
NA,North Carolina,"THOMAS, R P (BO)",Democratic Party,Challenger,1990,798296,73288,1000,714500,0,798295,0,718651
NA,Oklahoma,"BOREN, DAVID LYLE",Democratic Party,Incumbent,1986,33881,0,0,0,0,86296,51,0
NA,Oklahoma,"BOREN, DAVID LYLE",Democratic Party,Incumbent,1988,429365,409533,0,1500,0,152611,276803,0
NA,Oklahoma,"BOREN, DAVID LYLE",Democratic Party,Incumbent,1990,1253350,1156516,0,0,0,1372014,158133,0
NA,Oklahoma,"JENNER, VIRGINIA",Democratic Party,Challenger,1990,3120,1150,0,3940,0,3120,0,1970
NA,Oklahoma,"JONES, STEPHEN",Republican Party,Challenger,1990,140911,51050,0,79204,0,140912,0,0
NA,Oregon,"LONSDALE, HAROLD KENNETH",Democratic Party,Challenger,1990,1503979,625637,0,813152,0,1500774,3202,720504
NA,Oregon,"WASHBURNE, BROOKS",Democratic Party,Challenger,1990,642,0,0,642,0,642,0,0
NA,Rhode Island,"PELL, CLAIBORNE",Democratic Party,Incumbent,1990,2138199,1125436,885678,0,0,2350128,216256,0
NA,Rhode Island,"SCHNEIDER, CLAUDINE C",Republican Party,Challenger,1990,1989696,1029138,686365,0,176333,2073609,12673,66951
NA,South Carolina,"CUNNINGHAM, ROBERT H",Democratic Party,Challenger,1990,6379,0,0,6379,0,6232,147,0
